show_id,type,title,director,cast,country,release_year,duration,listed_in
s6568,movie,Darna Mana Hai,Prawal Raman,Aftab Shivdasani; Antara Mali; Boman Irani; Isha Koppikar; Nana Patekar; Raghuvir Yadav; Rajpal Yadav; Revathy; Saif Ali Khan; Sameera Reddy; Sanjay Kapoor; Shilpa Shetty; Sohail Khan; Vivek Oberoi,India,2003,116 min,Horror Movies; International Movies; Thrillers
s6640,movie,Dr. Seuss' The Cat in the Hat,Bo Welch,Mike Myers; Alec Baldwin; Kelly Preston; Dakota Fanning; Spencer Breslin; Amy Hill; Sean Hayes; Dan Castellaneta,United States,2003,82 min,Children & Family Movies; Comedies
s6655,movie,Dum,Eeshwar Nivas,Vivek Oberoi; Diya Mirza; Atul Kulkarni; Govind Namdeo; Mukesh Rishi; Sushant Singh; Yashpal Sharma; Sheeba,India,2003,162 min,Action & Adventure; Dramas; International Movies
s6656,movie,Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,Eric Christian Olsen; Derek Richardson; Rachel Nichols; Cheri Oteri; Luis Guzmn; Elden Henson; William Lee Scott; Mimi Rogers; Eugene Levy,United States,2003,85 min,Comedies
s6755,movie,Final Destination 2,David R. Ellis,Ali Larter; A.J. Cook; Michael Landes; Terrence 'T.C.' Carson; Jonathan Cherry; Keegan Connor Tracy; Sarah Carter; Lynda Boyd; David Paetkau; Justina Machado,United States; Canada,2003,90 min,Horror Movies; Thrillers
s1427,movie,Gangaajal,Prakash Jha,Ajay Devgn; Gracy Singh; Mohan Agashe; Mohan Joshi; Ayub Khan; Akhilendra Mishra; Mukesh Tiwari; Yashpal Sharma; Brij Gopal; Anita Kanwal,India,2003,148 min,Dramas; International Movies
s6838,movie,George of the Jungle 2,David Grossman,Christopher Showerman; Julie Benz; Angus T. Jones; Thomas Haden Church; Christina Pickles; John Cleese; Michael Clarke Duncan; John Kassir; Kevin Greutert; Keith Scott,United States; Australia,2003,87 min,Children & Family Movies; Comedies
s6887,movie,Gothika,Mathieu Kassovitz,Halle Berry; Robert Downey Jr.; Charles S. Dutton; John Carroll Lynch; Bernard Hill; Penlope Cruz; Dorian Harewood; Bronwen Mantel,United States; France; Canada; Spain,2003,98 min,Horror Movies; Thrillers
s3914,movie,Hazaaron Khwaishein Aisi,Sudhir Mishra,Kay Kay Menon; Shiney Ahuja; Chitrangada Singh; Ram Kapoor; Saurabh Shukla; Yashpal Sharma; Jasbir Malik; Sohrab Ardeshir; Aditya Bhattacharya; Arif Zakaria,India; France,2003,111 min,Dramas; International Movies; Romantic Movies
s123,movie,In the Cut,Jane Campion,Meg Ryan; Mark Ruffalo; Jennifer Jason Leigh; Nick Damici; Sharrieff Pugh; Kevin Bacon; Yaani King Mondschein; Heather Litteer,United Kingdom; Australia; France; United States,2003,118 min,Thrillers
s53,movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Kappei Yamaguchi; Satsuki Yukino; Koji Tsujitani; Houko Kuwashima; Kumiko Watanabe; Ken Narita; Akio Otsuka; Kikuko Inoue,Japan,2003,99 min,Action & Adventure; Anime Features; International Movies
s7090,movie,Inuyasha the Movie - La spada del dominatore del mondo,Toshiya Shinohara,Kappei Yamaguchi; Satsuki Yukino; Koji Tsujitani; Houko Kuwashima; Kumiko Watanabe; Ken Narita; Akio Otsuka; Kikuko Inoue,Japan,2003,99 min,Action & Adventure; Anime Features; International Movies
s1942,movie,Ishq Vishk,Ken Ghosh,Shahid Kapoor; Amrita Rao; Shenaz Treasury; Vishal Malhotra; Kapil Jhaveri; Shabhir; Deepti Gujral; Yash Tonk; Satish Shah; Neelima Azim,India,2003,129 min,Comedies; International Movies; Music & Musicals
s3915,movie,Jhankaar Beats,Sujoy Ghosh,Rahul Bose; Sanjay Suri; Rinke Khanna; Riya Sen; Juhi Chawla; Shayan Munshi,India,2003,131 min,Comedies; International Movies; Music & Musicals
s2733,movie,Kal Ho Naa Ho,Nikkhil Advani,Shah Rukh Khan; Saif Ali Khan; Preity Zinta; Jaya Bhaduri; Sushma Seth; Reema Lagoo; Lillete Dubey; Delnaaz Paul,India,2003,187 min,Comedies; Dramas; International Movies
s7190,movie,Khushi,Surya S.J.; Sunil Kumar Agrawal,Fardeen Khan; Kareena Kapoor; Amrish Puri; Navin Nischol; Beena; Anup Soni; Johnny Lever; Sharat Saxena; Amitabh Bachchan; Sakshi Shivanand,India,2003,157 min,Comedies; International Movies; Music & Musicals
s7198,movie,Kill Bill: Vol. 1,Quentin Tarantino,Uma Thurman; Lucy Liu; Vivica A. Fox; Daryl Hannah; David Carradine; Michael Madsen; Julie Dreyfus; Chiaki Kuriyama; Sonny Chiba; Gordon Liu,United States; Japan,2003,111 min,Action & Adventure
s202,movie,Kucch To Hai,Anil V. Kumar; Anurag Basu,Tusshar Kapoor; Esha Deol; Natassha; Vrajesh Hirjee; Kusumit Sana; Rishi Kapoor; Moon Moon Sen; Johny Lever; Ashay Chitre; Jeetendra,India,2003,136 min,Dramas; International Movies; Thrillers
s7276,movie,LeapFrog: Letter Factory,Roy Allen Smith,Joey Camen; Marie Danielle; Mark Cacciatore; Dave Fennoy; Debi Derryberry,United States,2003,37 min,Children & Family Movies
s159,movie,Love Don't Cost a Thing,Troy Byer,Nick Cannon; Christina Milian; Kenan Thompson; Kal Penn; Steve Harvey; Al Thompson; Ashley Monique Clark; Elimu Nelson; Nichole Robinson; Melissa Schuman,United States,2003,101 min,Comedies; Romantic Movies
s7440,movie,Melvin Goes to Dinner,Bob Odenkirk,Michael Blieden; Stephanie Courtney; Annabelle Gurwitch; Matt Price; David Cross; Maura Tierney; Kathleen Roll; Jack Black; Jenna Fischer; Fred Armisen,United States,2003,84 min,Comedies; Dramas; Independent Movies
s7482,movie,Mona Lisa Smile,Mike Newell,Julia Roberts; Kirsten Dunst; Julia Stiles; Maggie Gyllenhaal; Juliet Stevenson; Dominic West; Ginnifer Goodwin; Topher Grace; John Slattery; Marcia Gay Harden,United States,2003,119 min,Dramas
s3916,movie,Mumbai Matinee,Anant Balani,Rahul Bose; Vijay Raaz; Anusha Dhandekar; Perizaad Zorabian; Saurabh Shukla; Asrani; Shehzad Khan,India,2003,116 min,Comedies; International Movies; Romantic Movies
s164,movie,My Boss's Daughter,David Zucker,Ashton Kutcher; Tara Reid; Jeffrey Tambor; Andy Richter; Michael Madsen; Jon Abrahams; David Koechner; Carmen Electra; Kenan Thompson; Terence Stamp; Molly Shannon,United States,2003,86 min,Comedies; Romantic Movies
s943,movie,Mystic River,Clint Eastwood,Sean Penn; Tim Robbins; Kevin Bacon; Laurence Fishburne; Marcia Gay Harden; Laura Linney; Kevin Chapman; Tom Guiry; Emmy Rossum; Spencer Treat Clark,United States; Australia,2003,138 min,Dramas; Thrillers
s652,movie,Osuofia in London,Kingsley Ogoro,Nkem Owoh; Mara Derwent; Francis Odega; Cynthia Okereke; Tom Njemanze; Romanus Amuta; Sabina Mole; Blessing Onolleka; Oluchi Agunwa; Chiwendu Onaga; Patricia Ezeani; Stephen Ahanonu,Nigeria,2003,84 min,Comedies; Dramas; International Movies
s7913,movie,S.W.A.T.,Clark Johnson,Samuel L. Jackson; Colin Farrell; Michelle Rodriguez; LL Cool J; Josh Charles; Jeremy Renner; Brian Van Holt; Olivier Martinez; Reg E. Cathey; Larry Poindexter; Page Kennedy; Domenick Lombardozzi; James DuMont,United States,2003,117 min,Action & Adventure
s173,movie,School of Rock,Richard Linklater,Jack Black; Joan Cusack; Mike White; Sarah Silverman; Lee Wilkof; Kate McGregor-Stewart; Adam Pascal; Suzzanne Douglas; Miranda Cosgrove; Kevin Alexander Clark; Joey Gaydos Jr.; Robert Tsai; Veronica Afflerbach; Jordan-Claire Green,United States; Germany,2003,110 min,Comedies; Music & Musicals
s350,movie,Seabiscuit,Gary Ross,Tobey Maguire; Jeff Bridges; Chris Cooper; Elizabeth Banks; Gary Stevens; William H. Macy; David McCullough; Kingston DuCoeur; Eddie Jones; Ed Lauter; Michael O'Neill; Michael Angarano; Royce D. Applegate; Annie Corley; Valerie Mahaffey,United States,2003,141 min,Dramas; Sports Movies
s8056,movie,Something's Gotta Give,Nancy Meyers,Jack Nicholson; Diane Keaton; Keanu Reeves; Frances McDormand; Amanda Peet; Jon Favreau; Paul Michael Glaser; Rachel Ticotin,United States,2003,128 min,Comedies; Romantic Movies
s8077,movie,Spy Kids 3: Game Over,Robert Rodriguez,Daryl Sabara; Sylvester Stallone; Ricardo Montalban; Alexa PenaVega,United States,2003,83 min,Children & Family Movies; Comedies
s175,movie,Tears of the Sun,Antoine Fuqua,Bruce Willis; Monica Bellucci; Cole Hauser; Eamonn Walker; Johnny Messner; Nick Chinlund; Charles Ingram; Paul Francis; Chad Smith; Tom Skerritt; Malick Bowens; Awaovieyi Agie,United States,2003,121 min,Action & Adventure; Dramas
s8167,movie,Terminator 3: Rise of the Machines,Jonathan Mostow,Arnold Schwarzenegger; Nick Stahl; Claire Danes; Kristanna Loken; David Andrews; Mark Famiglietti; Earl Boen; Moira Sinise; Chopper Bernet; Christopher Lawford,United States; Germany; United Kingdom,2003,109 min,Action & Adventure; Sci-Fi & Fantasy
s8318,movie,The Gathering,Nia Dinata,Cut Mini Theo; Tora Sudiro; Aida Nurmala; Surya Saputra; Rachel Maryam Sayidina; Trey Gondokusumo; Lili Harahap; Aurora Yahya; Wilza Lubis; Nico Siahaan,Indonesia,2003,124 min,Comedies; Dramas; International Movies
s1826,movie,The Kite,Randa Chahal Sabbag,Flavia Bechara; Maher Bsaibes; Randa Asmar; Rene Dick; Julia Kassar; Liliane Nemri; Ziad Rahbani; Nayef Naji; Edmond Haddad; Alia Nemry,Lebanon; France,2003,76 min,Dramas; International Movies; Romantic Movies
s605,movie,The Life of David Gale,Alan Parker,Kevin Spacey; Kate Winslet; Laura Linney; Gabriel Mann; Leon Rippy; Matt Craven; Rhona Mitra; Melissa McCarthy; Jim Beaver; Chris Warner,United Kingdom; Germany; Spain; United States,2003,130 min,Dramas
s8405,movie,The Lord of the Rings: The Return of the King,Peter Jackson,Elijah Wood; Ian McKellen; Liv Tyler; Viggo Mortensen; Sean Astin; Cate Blanchett; John Rhys-Davies; Bernard Hill; Billy Boyd; Dominic Monaghan; Orlando Bloom; Hugo Weaving,New Zealand; United States,2003,201 min,Action & Adventure; Sci-Fi & Fantasy
s8416,movie,The Matrix Reloaded,Lilly Wachowski; Lana Wachowski,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss; Hugo Weaving; Jada Pinkett Smith; Gloria Foster; Harold Perrineau; Monica Bellucci; Harry Lennix; Lambert Wilson; Randall Duk Kim; Nona Gaye,United States,2003,138 min,Action & Adventure; Sci-Fi & Fantasy
s8417,movie,The Matrix Revolutions,Lilly Wachowski; Lana Wachowski,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss; Hugo Weaving; Jada Pinkett Smith; Mary Alice; Harold Perrineau; Monica Bellucci; Harry Lennix; Lambert Wilson; Nona Gaye,United States,2003,129 min,Action & Adventure; Sci-Fi & Fantasy
s611,movie,Underworld,Len Wiseman,Kate Beckinsale; Scott Speedman; Michael Sheen; Shane Brolly; Bill Nighy; Erwin Leder; Sophia Myles; Robbie Gee; Wentworth Miller; Kevin Grevioux,United States; United Kingdom; Germany; Hungary,2003,121 min,Action & Adventure; Horror Movies; Sci-Fi & Fantasy
s2597,movie,What a Girl Wants,Dennie Gordon,Amanda Bynes; Colin Firth; Kelly Preston; Eileen Atkins; Anna Chancellor; Jonathan Pryce; Oliver James; Christina Cole,United States; United Kingdom,2003,105 min,Children & Family Movies; Comedies
s6019,movie,50 First Dates,Peter Segal,Adam Sandler; Drew Barrymore; Rob Schneider; Sean Astin; Lusia Strus; Dan Aykroyd; Amy Hill; Allen Covert; Blake Clark; Maya Rudolph,United States,2004,99 min,Comedies; Romantic Movies
s128,movie,A Cinderella Story,Mark Rosman,Hilary Duff; Chad Michael Murray; Jennifer Coolidge; Dan Byrd; Regina King; Julie Gonzalo; Lin Shaye; Madeline Zima; Andrea Avery; Mary Pat Gleason; Paul Rodriguez; Whip Hubley; Kevin Kilner; Erica Hubbard; Simon Helberg,United States; Canada,2004,95 min,Children & Family Movies; Comedies
s6108,movie,Aitraaz,Abbas Alibhai Burmawalla; Mastan Alibhai Burmawalla,Akshay Kumar; Kareena Kapoor; Priyanka Chopra; Amrish Puri; Paresh Rawal; Annu Kapoor,India,2004,153 min,International Movies; Music & Musicals; Romantic Movies
s6223,movie,Balto 3: Wings of Change,Phil Weinstein,Maurice LaMarche; Sean Astin; Keith Carradine; Charles Fleischer; Jodi Benson; Bill Fagerbakke; Charity James; Kathy Najimy; David Paymer; Jean Smart,United States,2004,78 min,Children & Family Movies
s6284,movie,Benji: Off the Leash,Joe Camp,Nick Whitaker; Chris Kendrick; Randall Newsome; Duane Stephens; Lincoln Hoppe; Christy Summerhays; Scott Wilkinson,United States,2004,100 min,Children & Family Movies; Dramas
s1674,movie,Black Friday,Anurag Kashyap,Pavan Malhotra; Kay Kay Menon; Aditya Srivastava; Dibyendu Bhattacharya; Kishore Kadam; Gajraj Rao; Zakir Hussain; Imtiaz Ali; Pratima Kazmi; Raj Arjun,India,2004,162 min,Dramas; International Movies
s4103,movie,Chameli,Sudhir Mishra,Kareena Kapoor; Rahul Bose; Rinke Khanna; Yashpal Sharma; Makrand Deshpande; Kabir Sadanand; Pankaj Jha,India,2004,102 min,Dramas; International Movies
s6481,movie,Christmas with the Kranks,Joe Roth,Tim Allen; Jamie Lee Curtis; Dan Aykroyd; Erik Per Sullivan; Cheech Marin; Jake Busey; M. Emmet Walsh; Kevin Chamberlin; Elizabeth Franz; Ren Lavan,United States,2004,99 min,Children & Family Movies; Comedies
s6541,movie,Crash,Paul Haggis,Sandra Bullock; Don Cheadle; Matt Dillon; Jennifer Esposito; William Fichtner; Brendan Fraser; Terrence Howard; Ludacris; Thandie Newton; Ryan Phillippe; Larenz Tate; Nona Gaye; Michael Pea,United States; Germany,2004,112 min,Dramas; Independent Movies
s6603,movie,Devrai,Sumitra Bhave; Sunil Sukthankar,Atul Kulkarni; Sonali Kulkarni; Tushar Dalvi; Devika Daftardar; Amruta Subhash; Mohan Agashe; Ashwin Chitale; Jyoti Subhash,India,2004,123 min,Dramas; International Movies
s6670,movie,Ek Hasina Thi,Sriram Raghavan,Saif Ali Khan; Urmila Matondkar; Seema Biswas; Pratima Kazmi; Aditya Srivastava; Rasika Joshi; Madan Joshi; Seema Adhikari,India,2004,134 min,Dramas; International Movies; Thrillers
s1859,movie,Fida,Ken Ghosh,Fardeen Khan; Kareena Kapoor; Shahid Kapoor; Kim Sharma; Akhilendra Mishra,India,2004,117 min,International Movies; Romantic Movies; Thrillers
s982,movie,G.O.R.A,mer Faruk Sorak,Cem Ylmaz; Rasim ztekin; zkan Uur; dil Frat; afak Sezer; zge zberk; Erdal Tosun; Cezmi Baskn; Ozan Gven; Engin Gnaydn,Turkey,2004,123 min,Action & Adventure; Comedies; International Movies
s6929,movie,Harold & Kumar Go to White Castle,Danny Leiner,John Cho; Kal Penn; Paula Garcs; Neil Patrick Harris; David Krumholtz; Eddie Kaye Thomas; Christopher Meloni; Ryan Reynolds; Fred Willard,United States; Canada; Germany,2004,88 min,Comedies; Cult Movies
s6958,movie,Hellboy,Guillermo del Toro,Ron Perlman; John Hurt; Selma Blair; Rupert Evans; Karel Roden; Jeffrey Tambor; Doug Jones; Brian Steele; Ladislav Beran; Biddy Hodson; Corey Johnson; Kevin Trainor,United States,2004,122 min,Action & Adventure; Cult Movies; Sci-Fi & Fantasy
s54,movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Kappei Yamaguchi; Satsuki Yukino; Koji Tsujitani; Houko Kuwashima; Kumiko Watanabe; Noriko Hidaka; Ken Narita; Cho; Mamiko Noto; Nobutoshi Canna,Japan,2004,88 min,Action & Adventure; Anime Features; International Movies
s7089,movie,Inuyasha the Movie - L'isola del fuoco scarlatto,Toshiya Shinohara,Kappei Yamaguchi; Satsuki Yukino; Koji Tsujitani; Houko Kuwashima; Kumiko Watanabe; Noriko Hidaka; Ken Narita; Cho; Mamiko Noto; Nobutoshi Canna; Fumiko Orikasa; Richard Ian Cox; Moneca Stori,Japan,2004,88 min,Action & Adventure; Anime Features; International Movies
s7199,movie,Kill Bill: Vol. 2,Quentin Tarantino,Uma Thurman; David Carradine; Michael Madsen; Daryl Hannah; Gordon Liu; Michael Parks; Perla Haney-Jardine; Helen Kim; Claire Smithies; Clark Middleton,United States,2004,137 min,Action & Adventure
s201,movie,Krishna Cottage,Santram Varma,Sohail Khan; Isha Koppikar; Natassha; Rati Agnihotri; Vrajesh Hirjee; Divya Palat; Hiten Tejwani; Rajendranath Zutshi,India,2004,124 min,Action & Adventure; Horror Movies; International Movies
s7240,movie,Kung Fu Hustle,Stephen Chow,Stephen Chow; Yuen Wah; Yuen Qiu; Lam Chi-chung; Dong Zhihua; Chiu Chi-ling; Xing Yu; Danny Chan Kwok-kwan; Leung Siu-lung,Hong Kong; China; United States,2004,99 min,Action & Adventure; Comedies; Cult Movies
s7250,movie,Kyun! Ho Gaya Na,Samir Karnik,Aishwarya Rai Bachchan; Vivek Oberoi; Amitabh Bachchan; Om Puri; Rati Agnihotri; Sunil Shetty; Tinnu Anand; Rahul Singh,India,2004,165 min,International Movies; Romantic Movies
s3143,movie,Lakshya,Farhan Akhtar,Amitabh Bachchan; Hrithik Roshan; Preity Zinta; Om Puri; Sharad Kapoor; Rajendranath Zutshi; Sushant Singh; Prashant Chainani; Shakeel Khan; Ranvir Shorey,India,2004,185 min,Action & Adventure; Dramas; International Movies
s892,movie,Layer Cake,Matthew Vaughn,Daniel Craig; Colm Meaney; Kenneth Cranham; Sienna Miller; Tom Hardy; Michael Gambon; George Harris; Jamie Foreman; Marcel Iures; Ben Whishaw; Tamer Hassan,United Kingdom,2004,105 min,Independent Movies; International Movies; Thrillers
s1021,movie,Madness in the Desert,Satyajit Bhatkal,Aamir Khan; Ashutosh Gowariker,India,2004,141 min,Documentaries; International Movies
s4953,movie,Main Hoon Na,Farah Khan,Shah Rukh Khan; Sunil Shetty; Sushmita Sen; Zayed Khan; Amrita Rao; Kiron Kher; Boman Irani; Bindu; Naseeruddin Shah; Kabir Bedi,India,2004,171 min,Action & Adventure; Comedies; Dramas
s800,movie,Million Dollar Baby,Clint Eastwood,Clint Eastwood; Hilary Swank; Morgan Freeman; Anthony Mackie; Jay Baruchel; Mike Colter; Lucia Rijker; Bran F. O'Byrne; Margo Martindale; Riki Lindhome,United States,2004,133 min,Dramas; Sports Movies
s7461,movie,Miracle,Gavin O'Connor,Kurt Russell; Patricia Clarkson; Noah Emmerich; Sean McCann; Kenneth Welsh; Eddie Cahill; Patrick O'Brien Demsey; Michael Mantenuto; Nathan West; Kenneth Mitchell; Sam Skoryna; Billy Schneider; Michael Kopsa; Beverley Breuer; Lisa Marie Caruk; Ryan Walter; Nate Miller; Joseph Cure; Scott Johnson; Eric Peter-Kaiser; Bobby Hanson,Canada; United States,2004,136 min,Children & Family Movies; Dramas; Sports Movies
s7525,movie,Mujhse Shaadi Karogi,David Dhawan,Rajpal Yadav; Amrish Puri; Kader Khan; Shashi Kala; Priyanka Chopra; Salman Khan; Akshay Kumar; Satish Shah,India,2004,158 min,Comedies; International Movies; Romantic Movies
s64,movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Junko Takeuchi; Noriaki Sugiyama; Chie Nakamura; Kazuhiko Inoue; Yuhko Kaida; Tsutomu Isobe; Hirotaka Suzuoki; Jun Karasawa; Harii Kaneko; Ikuo Nishikawa,Japan,2004,83 min,Action & Adventure; Anime Features; International Movies
s7565,movie,National Treasure,Jon Turteltaub,Nicolas Cage; Diane Kruger; Justin Bartha; Sean Bean; Jon Voight; Harvey Keitel; Christopher Plummer,United States,2004,131 min,Action & Adventure; Children & Family Movies
s7580,movie,New York Minute,Dennie Gordon,Mary-Kate Olsen; Ashley Olsen; Eugene Levy; Andy Richter; Riley Smith; Jared Padalecki; Drew Pinsky; Darrell Hammond; Andrea Martin; Alannah Ong; Mary Bond Davis; Bob Saget; Jack Osbourne,United States,2004,91 min,Children & Family Movies; Comedies
s7640,movie,Ocean's Twelve,Steven Soderbergh,George Clooney; Brad Pitt; Matt Damon; Catherine Zeta-Jones; Andy Garcia; Don Cheadle; Bernie Mac; Julia Roberts; Casey Affleck; Scott Caan,United States,2004,125 min,Action & Adventure; Comedies
s653,movie,Osuofia in London II,Kingsley Ogoro,Nkem Owoh; Mara Derwent; Francis Odega; Cynthia Okereke; Tom Njemanze; Romanus Amuta; Sabina Mole; Blessing Onolleka; Oluchi Agunwa; Chiwendu Onaga; Patricia Ezeani; Stephen Ahanonu,Unknown,2004,70 min,Comedies; Dramas; International Movies
s1877,movie,Palermo Hollywood,Eduardo Pinto,Brian Maya; Matas Desiderio; Manuela Pal; Azul Lombarda,Argentina,2004,106 min,Dramas; International Movies
s1522,movie,Rabun,Yasmin Ahmad,M. Rajoli; Kartina Aziz; Rozie Rashid; Irwan Iskandar; Noor Khiriah; Hafiz Ibrahim,Malaysia,2004,85 min,Dramas; Independent Movies; International Movies
s7903,movie,Run,Jeeva,Abhishek Bachchan; Bhoomika Chawla; Mahesh Manjrekar; Vijay Raaz; Mukesh Rishi; Ayesha Jhulka; Anjan Srivastav; Goga Kapoor; Mukul Agarwal; Shweta Menon,India,2004,134 min,Action & Adventure; International Movies; Music & Musicals
s8014,movie,Shutter,Banjong Pisanthanakun; Parkpoom Wongpoom,Ananda Everingham; Natthaweeranuch Thongmee; Achita Sikamana; Unnop Chanpaibool; Titikarn Tongprasearth; Sivagorn Muttamara; Chachchaya Chalemphol; Kachormsak Naruepatr,Thailand,2004,96 min,Horror Movies; International Movies
s8038,movie,Sleepover,Joe Nussbaum,Alexa PenaVega; Mika Boorem; Jane Lynch; Sam Huntington; Sara Paxton; Brie Larson; Scout Taylor-Compton; Douglas Smith; Katija Pevec; Steve Carell; Jeff Garlin,United States,2004,89 min,Comedies; Romantic Movies
s3545,movie,Spookley the Square Pumpkin,Bernie Denk,Sonja Ball; Craig Francis; Rick Jones; Michel Perron; Holly Gauthier-Frankel; Norman Groulx; Terrence Scammell; Bruce Dinsmore; Jennifer Seguin,United States,2004,47 min,Children & Family Movies
s810,movie,Starsky & Hutch,Todd Phillips,Ben Stiller; Owen Wilson; Vince Vaughn; Juliette Lewis; Snoop Dogg; Fred Williamson; Jason Bateman; Amy Smart; Carmen Electra; George Cheung,United States,2004,101 min,Action & Adventure; Comedies
s5015,movie,Swades,Ashutosh Gowariker,Shah Rukh Khan; Gayatri Joshi; Kishori Balal; Smith Seth; Lekh Tandon; Rajesh Vivek; Daya Shankar Pandey; Farrukh Jaffar,India,2004,185 min,Dramas; International Movies
s352,movie,Team America: World Police,Trey Parker,Trey Parker; Matt Stone; Kristen Miller; Masasa Moyo; Daran Norris; Phil Hendrie; Maurice LaMarche; Chelsea Magritte; Jeremy Shada; Fred Tatasciore,United States; Germany,2004,98 min,Action & Adventure; Comedies; Cult Movies
s2511,movie,The Beach Loafer,Ali Ragab,Ahmed Helmy; Yasmin Abdulaziz; Mahmoud Abdel Moghny; Lotfy Labib; Soad Nasr; Rico; Ahmed Rateb; Youssef Eid,Egypt,2004,112 min,Comedies; International Movies
s358,movie,The Machinist,Brad Anderson,Christian Bale; Jennifer Jason Leigh; Aitana Snchez-Gijn; John Sharian; Michael Ironside; Lawrence Gilliard Jr.; Reg E. Cathey; Anna Massey; Matthew Romero; Robert Long; Colin Stinton; Craig Stevenson,Spain; France; United Kingdom; United States,2004,102 min,Dramas; Independent Movies; Thrillers
s8453,movie,The Phantom of the Opera,Joel Schumacher,Gerard Butler; Emmy Rossum; Patrick Wilson; Miranda Richardson; Minnie Driver; Ciarn Hinds; Simon Callow; Victor McGuire; Jennifer Ellison,United Kingdom; United States,2004,141 min,Dramas; Music & Musicals; Romantic Movies
s8462,movie,The Polar Express,Robert Zemeckis,Tom Hanks; Leslie Zemeckis; Eddie Deezen; Nona Gaye; Peter Scolari; Brendan King; Andy Pellick; Michael Jeter; Chris Coppola; Julene Renee,United States,2004,100 min,Children & Family Movies
s8464,movie,The President's Barber,Chan-sang Lim,Kang-ho Song; So-ri Moon; Jae-eung Lee; Yeong-jin Jo; Byung-ho Son; Yong-soo park; Seung-soo Ryu; Ju-sang Yun; Gyu-su Jeong; Dal-su Oh,South Korea,2004,116 min,Comedies; Dramas; International Movies
s8466,movie,The Prince & Me,Martha Coolidge,Julia Stiles; Luke Mably; Ben Miller; Miranda Richardson; James Fox; Alberta Watson; John Bourgeois; Zachary Knighton; Eliza Bennett,United States; Czech Republic,2004,111 min,Comedies; Romantic Movies
s2440,movie,The Student Cop,Wael Ihsan,Karim Abdel Aziz; Hassan Hosny; Ghada Adel; Maha Ahmed; Ramez Galal; Mohamed Ragab; Mohamed El Dafrawy,Egypt,2004,111 min,Action & Adventure; Comedies; International Movies
s3650,movie,The Twins Effect II,Corey Yuen; Patrick Leung,Donnie Yen; Jaycee Chan; Charlene Choi; Gillian Chung; Wilson Chen Bo-Lin; Tony Leung Ka Fai; Qu Ying; Fan Bingbing; Xie Jing-jing; Daniel Wu; Edison Chen; Jackie Chan,Hong Kong; China,2004,106 min,Action & Adventure; Comedies; International Movies
s5020,movie,Trailer Park Boys: Xmas Special,Mike Clattenburg,John Paul Tremblay; Robb Wells; John Dunsworth; Patrick Roach; Lucy Decoutere; Sarah Dunsworth; Cory Bowles; Barrie Dunn; Michael Jackson; Shelley Thompson,Canada,2004,46 min,Movies
s8625,movie,Tremors 4: The Legend Begins,S.S. Wilson,Michael Gross; Sara Botsford; Billy Drago; Brent Roam; August Schellenberg; J.E. Freeman; Ming Lo; Lydia Look; Sam Ly; Neil Kopit,United States,2004,101 min,Comedies; Horror Movies; Sci-Fi & Fantasy
s8683,movie,Vizontele Tuuba,Ylmaz Erdoan,Ylmaz Erdoan; Tark Akan; Altan Erkekli; Cezmi Baskn; clal Aydn; Demet Akba; Tuba nsal; Tolga evik,Turkey,2004,106 min,Comedies; Dramas; International Movies
s3003,movie,Whisky,Pablo Stoll; Juan Pablo Rebella,Andrs Pazos; Mirella Pascual; Jorge Bolani; Jos Pedro Bujaruz; Vernica Perrotta,Uruguay; Argentina; Germany; Spain,2004,98 min,Comedies; Dramas; International Movies
s5022,movie,Yuva,Mani Ratnam,Ajay Devgn; Abhishek Bachchan; Vivek Oberoi; Esha Deol; Kareena Kapoor; Rani Mukerji; Loveleen Mishra; Anant Nag; Om Puri; Vijay Raaz; Sonu Sood,India,2004,160 min,Dramas; International Movies
s130,movie,An Unfinished Life,Lasse Hallstrm,Robert Redford; Jennifer Lopez; Morgan Freeman; Josh Lucas; Damian Lewis; Camryn Manheim; Becca Gardner; Lynda Boyd; Rob Hayter; P. Lynn Johnson,Germany; United States,2005,108 min,Dramas
s1423,movie,Apaharan,Prakash Jha,Ajay Devgn; Nana Patekar; Bipasha Basu; Ayub Khan; Mohan Agashe; Mukesh Tiwari; Yashpal Sharma; Anoop Soni; Chetan Pandit,India,2005,161 min,Dramas; International Movies
s6205,movie,Babam ve Olum,agan Irmak,etin Tekindor; Fikret Kukan; Hmeyra; Ege Tanman; erif Sezer; Yetkin Dikinciler; Binnur Kaya; Mahmut Gkgz; Nergis oraki; Bilge Sen,Turkey,2005,112 min,Dramas; International Movies
s6290,movie,Bewafaa,Dharmesh Darshan,Anil Kapoor; Akshay Kumar; Kareena Kapoor; Sushmita Sen; Shamita Shetty; Manoj Bajpayee; Kabir Bedi; Nafisa Ali; Supriya Pathak; Raj Premi; Supriya Karnik,India,2005,149 min,Dramas; International Movies; Romantic Movies
